Run,Cell,Species,CellLine,Strain,Barcode.1st,Barcode.2nd,Remark,TotalReads,UniqReads,Length.Median,Length.Mean,Length.Std,Background,GC.Median,GC.Mean,GC.Std,Spikiness,GenomicDepth,GenomicCoverage
20220418_S5CSTreat,20220418_S5CSTreat.sc013,Human,HG001,HG001,10,5,,459703,106642,2523.0,2966.71601245288,1863.165075554079,0.006142,0.3956194920415763,0.4066776049056656,0.0659694224255052,0.3379463659850594,0.4021738695274332,0.0941545452858372
20220418_S5CSTreat,20220418_S5CSTreat.sc018,Human,HG001,HG001,11,2,,442132,158153,2423.0,2852.336206078924,1791.871668515236,0.017091,0.3948362720403023,0.4054054750492129,0.0652702957788499,0.2788110794885156,0.3836794737529882,0.1364970571309493
20220418_S5CSTreat,20220418_S5CSTreat.sc021,Human,HG001,HG001,11,5,,423129,138369,2610.0,3109.545743627546,2027.50997216071,0.042413,0.3951734539969834,0.4058585256930324,0.0650524010396647,0.3497863607822718,0.3992332992580586,0.1294336160007083
20220418_S5CSTreat,20220418_S5CSTreat.sc023,Human,HG001,HG001,11,7,,231405,116347,2966.0,3384.957850223899,1849.794626265862,0.018163,0.3949191685912241,0.4057584713292414,0.0632843303967181,0.2312558426588976,0.2623638207590486,0.1213568665373388
20220418_S5CSTreat,20220418_S5CSTreat.sc025,Human,HG001,HG001,12,1,,154408,102840,2428.0,2767.02238428627,1549.022753369288,0.031618,0.395041348969474,0.4059213227657441,0.0652911124217362,0.2777053990008309,0.1424994469968145,0.0894566197728781
20220418_S5CSTreat,20220418_S5CSTreat.sc026,Human,HG001,HG001,12,2,,157294,81074,2474.0,2868.753361126872,1696.327069714636,0.026529,0.3945490501490209,0.4054659781345216,0.0651148916057335,0.3295162908247678,0.1489955409491432,0.0727594679165529
20220418_S5CSTreat,20220418_S5CSTreat.sc028,Human,HG001,HG001,12,4,,370335,138808,2457.0,2845.337098726298,1671.20864221257,0.010767,0.3950910530482977,0.4056494409257513,0.0652023964197461,0.2649270807908226,0.3534228306401571,0.1197556559067449
20220418_S5CSTreat,20220418_S5CSTreat.sc031,Human,HG001,HG001,12,7,,353700,153875,2299.0,2639.229173030057,1522.334514024764,0.015581,0.3941338221814849,0.4048276956031349,0.0654158827683295,0.2219227868065556,0.3019724422253715,0.1245447431105742
20220418_S5CSTreat,20220418_S5CSTreat.sc034,Human,HG001,HG001,13,2,,143050,94742,2357.0,2668.941525405839,1471.947886964363,0.007453,0.3946574544755475,0.4054154805993119,0.0654602694955503,0.2796723522324044,0.1262897164476701,0.0805326060623908
20220418_S5CSTreat,20220418_S5CSTreat.sc036,Human,HG001,HG001,13,4,,480486,182977,2139.0,2448.245998130913,1405.181288336296,0.010483,0.394396551724138,0.4051428433946711,0.0661123109257178,0.2198595903273337,0.3683954968007144,0.1361607261785651
20220418_S5CSTreat,20220418_S5CSTreat.sc038,Human,HG001,HG001,13,6,,321925,158198,2032.0,2327.107858506429,1327.874939640177,0.004511,0.3954203934947923,0.4058763142892854,0.0669124446945724,0.2348903666907032,0.2414902902440968,0.1139180690840692
20220418_S5CSTreat,20220418_S5CSTreat.sc043,Human,HG001,HG001,14,3,,435520,171211,2334.0,2728.143921827453,1643.840159489381,0.032684,0.3960342979635584,0.406847943341933,0.0658831384063796,0.2278019616656302,0.3973614404229174,0.1415980558218292
20220418_S5CSTreat,20220418_S5CSTreat.sc044,Human,HG001,HG001,14,4,,478258,214347,2252.0,2622.386588102469,1576.826306326605,0.044381,0.3966639544344996,0.4079649811549642,0.0668869581102735,0.2374423177830413,0.4198953109284649,0.1700416452857794
20220418_S5CSTreat,20220418_S5CSTreat.sc045,Human,HG001,HG001,14,5,,425462,172034,2152.0,2524.191334271132,1564.079097022415,0.043981,0.3961352657004831,0.4069613746103353,0.0667387233978227,0.2373456012873981,0.345085366532199,0.1320338511459055
20220418_S5CSTreat,20220418_S5CSTreat.sc046,Human,HG001,HG001,14,6,,388863,177014,2129.0,2474.543488085688,1486.939573388019,0.010889,0.3955321944809461,0.4063327285514434,0.066806145803711,0.234294452508527,0.3114181937466119,0.1343236273250223
20220418_S5CSTreat,20220418_S5CSTreat.sc049,Human,HG001,HG001,15,1,,258571,141082,2224.0,2544.081952339774,1454.980470236769,0.020985,0.3943992633500095,0.4051685524890715,0.0660534579393799,0.2512514439738159,0.2180567743017703,0.1124730368055784
20220418_S5CSTreat,20220418_S5CSTreat.sc050,Human,HG001,HG001,15,2,,466698,177920,2254.0,2608.801618705036,1556.708905494287,0.006846,0.3957548326154097,0.406268628276188,0.066382255333071,0.202749079681748,0.3733712259926936,0.1412357575788442
20220418_S5CSTreat,20220418_S5CSTreat.sc053,Human,HG001,HG001,15,5,,476882,117294,2199.0,2633.94200044333,1730.400401524741,0.013635,0.3987115901007413,0.4093677213408932,0.0678080434191563,0.368987071122474,0.3660994639292577,0.092663013553702
20220418_S5CSTreat,20220418_S5CSTreat.sc054,Human,HG001,HG001,15,6,,450673,126644,2156.0,2564.776057294463,1668.051274200015,0.018466,0.3950091013904811,0.4058562538249144,0.066908316360926,0.3635254068415809,0.3486626978557822,0.0995203605321778
20220418_S5CSTreat,20220418_S5CSTreat.sc055,Human,HG001,HG001,15,7,,550691,188297,2033.0,2338.520698683463,1371.871188880645,0.01593,0.3947368421052632,0.4050949634430799,0.066611297570375,0.2088894881128938,0.3970753466613296,0.1336180186550872
20220430_S5Merged,20220430_S5Merged.sc001,Human,HG001,HG001,9,1,,113902,84616,2458.0,2732.25414815165,1173.197326690199,0.003082,0.3949236613923898,0.4056762843309339,0.0648788864868903,0.2843880376360925,0.1027034235427441,0.0729142939215459
20220430_S5Merged,20220430_S5Merged.sc002,Human,HG001,HG001,9,2,,390004,152752,2422.0,2788.792906148528,1419.156627297865,0.005686,0.3957866373572497,0.4069856334550197,0.0658680518887381,0.2670099174124884,0.351599312301164,0.1280402435209563
20220430_S5Merged,20220430_S5Merged.sc003,Human,HG001,HG001,9,3,,573023,183263,2347.0,2762.773156610991,1522.623044433745,0.01429,0.4022208513263418,0.4132244256821974,0.0680292752895783,0.278859054655073,0.5089281524909051,0.1504130671552389
20220430_S5Merged,20220430_S5Merged.sc005,Human,HG001,HG001,9,5,,569287,159246,2483.0,2907.183326425781,1598.168065384827,0.006215,0.3966480446927375,0.4078765034909719,0.0660131212803623,0.3042884912392821,0.5264977946679501,0.1356875594725337
20220430_S5Merged,20220430_S5Merged.sc013,Human,HG001,HG001,10,5,,453758,98071,2759.0,3311.648988997767,2012.215879388719,0.03593,0.3982122905027933,0.409760938121395,0.065827722399042,0.4121267480046106,0.4543561465982417,0.0937292613370658
20220430_S5Merged,20220430_S5Merged.sc031,Human,HG001,HG001,12,7,,238546,117375,2426.0,2768.87684771033,1332.337142073161,0.003897,0.3966393122313404,0.4072725924237953,0.0651896074980457,0.398635654414166,0.2152462752678849,0.0990360901798507
20220430_S5Merged,20220430_S5Merged.sc037,Human,HG001,HG001,13,5,,382298,84962,2634.0,3069.767955085803,1689.376804594888,0.007433,0.3952647950626391,0.4067966993150355,0.065922625733643,0.3374301537546616,0.3702391605203471,0.0763505327980831
20220430_S5Merged,20220430_S5Merged.sc039,Human,HG001,HG001,13,7,,391916,183401,2478.0,2870.999640132824,1478.359916806504,0.016618,0.3966421825813222,0.4075344407508558,0.0653891171819207,0.2329834651329979,0.3631866946886437,0.1586286228059952
20220430_S5Merged,20220430_S5Merged.sc042,Human,HG001,HG001,14,2,,554515,182261,2417.0,2787.431842248205,1423.096414909915,0.006614,0.3960396039603961,0.4069732866231616,0.0654039746135503,0.243998492010556,0.5018077819994977,0.1489344098510707
20220430_S5Merged,20220430_S5Merged.sc044,Human,HG001,HG001,14,4,,517347,113366,2533.0,2989.698481026057,1715.836933722475,0.004072,0.39755788099898,0.4086586604393357,0.0664053990557366,0.4033400668385728,0.4944913712640462,0.0980590760883778
20220430_S5Merged,20220430_S5Merged.sc047,Human,HG001,HG001,14,7,,495685,184316,2529.0,2931.745160485253,1516.518621580325,0.00479,0.3971490684399311,0.4081570341054815,0.0655415212358662,0.2432872253864931,0.4724084914762699,0.1601625134722277
20220430_S5Merged,20220430_S5Merged.sc052,Human,HG001,HG001,15,4,,276191,80768,2600.0,3004.469270007924,1573.699109771586,0.007294,0.3974675909666977,0.4086015421702867,0.0658463410396887,0.4627274042698728,0.2685372814908722,0.0721616198852224
20220430_S5Merged,20220430_S5Merged.sc069,Human,HG001,HG001,17,5,,471945,159555,2491.0,2856.572636394973,1441.586752639099,0.007193,0.3980327868852459,0.4086724913731342,0.065470058662256,0.2481418656445849,0.4481307265895771,0.1375984930695978
20220430_S5Merged,20220430_S5Merged.sc070,Human,HG001,HG001,17,6,,254419,130569,2379.0,2727.50071609647,1335.726525566936,0.002963,0.3961144090663789,0.4070422307885461,0.0652995396669364,0.2948337007572127,0.23173216080127,0.11054843225923
20220430_S5Merged,20220430_S5Merged.sc081,Human,HG001,HG001,19,1,,165496,100824,2524.0,2835.112155835912,1297.073443116722,0.004114,0.3963076144897086,0.4073549742918551,0.0650274043115483,0.3026228437147644,0.1547394752996586,0.0883122875091124
20220430_S5Merged,20220430_S5Merged.sc082,Human,HG001,HG001,19,2,,276777,139221,2559.0,2922.781189619382,1431.505264607062,0.009054,0.3955739972337483,0.406266240838736,0.0647098223590209,0.2475364214240093,0.2656225466860814,0.1235122493962979
20220430_S5Merged,20220430_S5Merged.sc085,Human,HG001,HG001,19,5,,339825,86419,2592.0,3015.013480831762,1633.867264086272,0.0102,0.3972543972543973,0.4083355010770747,0.0656981581195455,0.4035425811593686,0.3356930890696064,0.0791218732440031
20220430_S5Merged,20220430_S5Merged.sc093,Human,HG001,HG001,20,5,,425333,176338,2464.0,2819.789404439202,1404.081703891245,0.003281,0.3962831558324124,0.4072315909477891,0.065504805405203,0.2185459059750635,0.3908018355476892,0.1482556922973343
20220430_S5Merged,20220430_S5Merged.sc095,Human,HG001,HG001,20,7,,328516,137672,2440.0,2808.431641873439,1415.986580114966,0.003751,0.3973016021500211,0.4084903718811027,0.0661754881015675,0.3135687931536,0.3056456249764726,0.1170110497075417
20220430_S5Merged,20220430_S5Merged.sc097,Human,HG001,HG001,9,21,,290588,104265,2651.0,3079.051014242555,1646.693757619511,0.007223,0.3955678670360111,0.4069664362512633,0.0654156235755204,0.3427786612693364,0.28164177646651,0.0951713656171066
20220430_S5Merged,20220430_S5Merged.sc098,Human,HG001,HG001,9,23,,559462,124656,2445.0,2815.93507733282,1489.243698894056,0.005733,0.3941637744255639,0.4051147260579243,0.0651352425288225,0.2765939476862527,0.5082530005004985,0.1028928057033564
20220430_S5Merged,20220430_S5Merged.sc101,Human,HG001,HG001,9,28,,336668,114053,2565.0,2975.188272119103,1569.715626501285,0.005306,0.3956009913258984,0.4068314565286132,0.0653250891342751,0.3275095268859489,0.3177318436216118,0.1010747847527574
20220430_S5Merged,20220430_S5Merged.sc103,Human,HG001,HG001,10,22,,548112,112001,2478.0,2870.636253247739,1526.533091920793,0.004768,0.3949860724233984,0.4058595946701418,0.0649408043982751,0.2791210455091747,0.5132984531338276,0.0924323336758219
20220430_S5Merged,20220430_S5Merged.sc106,Human,HG001,HG001,10,26,,347731,136134,2871.5,3314.689967238162,1746.881977049655,0.010345,0.3958009240892351,0.4069157749747716,0.0646498496405197,0.2419662791592886,0.369622598411967,0.1342170625118716
20220430_S5Merged,20220430_S5Merged.sc119,Human,HG001,HG001,12,26,,479067,151651,2758.0,3131.882064740753,1504.861290825157,0.006465,0.3944954128440367,0.4053585294895803,0.0637966441459672,0.2601164137854022,0.5276952225557813,0.1381804388484772
20220430_S5Merged,20220430_S5Merged.sc124,Human,HG001,HG001,13,23,,420046,117298,2460.0,2887.488320346468,1593.53666077911,0.006772,0.3958513396715644,0.4065315420453782,0.0655290398184767,0.3294034681662839,0.3872237894418756,0.1003312261898691
20220430_S5Merged,20220430_S5Merged.sc125,Human,HG001,HG001,13,24,,594696,141156,2313.0,2709.858404885375,1461.192634453156,0.012792,0.3952825340033237,0.4057888541667292,0.0650687189204196,0.3113208955223881,0.5404115977368863,0.1109764619456782
20220430_S5Merged,20220430_S5Merged.sc126,Human,HG001,HG001,13,26,,700636,126431,2193.0,2553.049924464728,1370.664920444199,0.019048,0.3938109368376431,0.4044994006875318,0.0655253842621382,0.3941468452261976,0.6079002767915752,0.0923888356118929
20220430_S5Merged,20220430_S5Merged.sc127,Human,HG001,HG001,13,27,,445082,80591,2389.0,2823.867255648893,1602.642509068553,0.013632,0.3946024799416484,0.4056236209315107,0.0652118116102772,0.3919081734444027,0.4242935211218299,0.0666552534089406
20220430_S5Merged,20220430_S5Merged.sc129,Human,HG001,HG001,13,29,,361328,123387,2347.0,2703.821488487442,1366.478023434563,0.003909,0.3955276030747729,0.4062582767978804,0.0655065634509579,0.2698418133260289,0.3204720449535818,0.1002747416980324
20220430_S5Merged,20220430_S5Merged.sc131,Human,HG001,HG001,14,22,,468890,103790,2664.0,3185.052856729935,1857.711697885861,0.01123,0.3967664823814113,0.4079896082829032,0.0654453210652836,0.3545020415228436,0.4980888538813094,0.0952298786296086
20220430_S5Merged,20220430_S5Merged.sc133,Human,HG001,HG001,14,26,,187487,110208,2538.0,2874.519817073171,1352.035110541851,0.004016,0.3937298580413795,0.4043355148845597,0.063703082814711,0.2527280371509928,0.1796229045613701,0.0983229743834549
20220430_S5Merged,20220430_S5Merged.sc136,Human,HG001,HG001,14,29,,209933,101269,2531.0,2880.996356239323,1382.085881612163,0.005024,0.3937864077669903,0.4044862270293337,0.0642584290334047,0.258416162376279,0.2002279677401854,0.089539550511584
20220430_S5Merged,20220430_S5Merged.sc144,Human,HG001,HG001,16,22,,201036,110714,2262.0,2572.932899181675,1199.223402371822,0.007525,0.3946099533793781,0.4050978970055611,0.0647302491529462,0.2600597333944026,0.1739841524160418,0.0880649185965891
20220430_S5Merged,20220430_S5Merged.sc145,Human,HG001,HG001,16,23,,409027,108778,2522.0,2967.109387927706,1592.338861718111,0.009835,0.3961160635289784,0.4071788444017665,0.0654003961800543,0.2859118578037497,0.4233350291075081,0.0943857117721553
20220430_S5Merged,20220430_S5Merged.sc147,Human,HG001,HG001,16,26,,207337,101159,2682.0,3005.669638885319,1359.097861069395,0.006198,0.3941908713692946,0.4051977973927235,0.0638422017308463,0.2809344953494942,0.2137150110350446,0.0927711387138528
20220430_S5Merged,20220430_S5Merged.sc153,Human,HG001,HG001,17,24,,277043,127134,2558.0,2953.049278713798,1488.960503617221,0.010136,0.3945663967854621,0.4054964049567339,0.0645300822745322,0.2855607723846052,0.2726907912920402,0.1145957608992181
20220430_S5Merged,20220430_S5Merged.sc154,Human,HG001,HG001,17,26,,501286,139094,2594.0,3009.894387967849,1598.5223388393,0.009189,0.3943119326965429,0.4049529085890668,0.0639753005407954,0.2537458221861808,0.4928266097105739,0.1223445714057608
20220430_S5Merged,20220430_S5Merged.sc155,Human,HG001,HG001,17,27,,358963,144725,2485.0,2875.851656590084,1479.639872784351,0.012695,0.394640042038886,0.405622730171712,0.0647687011820384,0.2888562621437232,0.337039908530525,0.1248717857200494
20220430_S5Merged,20220430_S5Merged.sc157,Human,HG001,HG001,17,29,,311053,122170,2561.0,2930.648146026029,1460.551959780224,0.011052,0.3935758513931889,0.4043444841538685,0.0639540839680739,0.2402914509451412,0.2977764072293246,0.1078965776630987
20220430_S5Merged,20220430_S5Merged.sc167,Human,HG001,HG001,19,23,,244370,104782,2560.0,2948.657507968926,1470.598517027009,0.005224,0.3937884753843663,0.4047929574804621,0.0643801198268805,0.2995156381139211,0.2365384984307497,0.0938650682216925
20220430_S5Merged,20220430_S5Merged.sc168,Human,HG001,HG001,19,24,,397086,129018,2749.0,3149.986063960068,1568.843556296266,0.007104,0.3948536347443122,0.4058283040754475,0.0641472348426274,0.2514177383482835,0.4247989250281865,0.1200736348688445
20220430_S5Merged,20220430_S5Merged.sc169,Human,HG001,HG001,19,26,,302331,150438,2644.0,3005.530344726731,1462.373684336076,0.005545,0.3947860975278967,0.4053135908830327,0.0636693994196424,0.2619483040099777,0.2979649911294899,0.1359604911541331
20220430_S5Merged,20220430_S5Merged.sc171,Human,HG001,HG001,19,28,,296093,83278,2530.0,2918.449362376618,1536.282992159446,0.006803,0.3941677913455666,0.40508522209228,0.0646483865872134,0.3123661670235546,0.2768198729322273,0.072085129838759
20220610_Treat,20220610_Treat.sc001,Human,HG001,HG001,9,17,,308236,137347,2166.0,2452.336257799588,1086.048901800337,0.003298,0.3935057787561915,0.404802825872565,0.0659528814822637,0.2497380746949341,0.259384656075323,0.1038987456925597
20220610_Treat,20220610_Treat.sc002,Human,HG001,HG001,9,18,,248181,125564,2006.0,2254.718350801185,936.1351706752224,0.004704,0.3935103836072524,0.4047912976049249,0.0660069140064835,0.2438135785744937,0.18833944394691,0.0883403688855508
20220610_Treat,20220610_Treat.sc003,Human,HG001,HG001,9,19,,454718,176043,2287.0,2636.251802116529,1286.411210580797,0.003237,0.3943194393212837,0.4053319853743734,0.0653580644971353,0.221686804756425,0.406514834185886,0.1410807385304751
20220610_Treat,20220610_Treat.sc004,Human,HG001,HG001,9,20,,444069,181770,1986.0,2292.588799031743,1094.074869145016,0.0062369999999999,0.3947694093453658,0.4059242015271258,0.0666185331765949,0.2281995510218325,0.3364772796109845,0.1276523272045767
20220610_Treat,20220610_Treat.sc007,Human,HG001,HG001,9,23,,340927,136259,1901.0,2123.069896300428,844.3385463888368,0.007466,0.3943488943488944,0.405481902647061,0.0668309407012369,0.2368672545744143,0.2412881741771823,0.0893953669357396
20220610_Treat,20220610_Treat.sc010,Human,HG001,HG001,10,20,,399187,112088,2113.0,2531.336235814717,1384.231526648065,0.004943,0.3963629473974302,0.4078084361475771,0.0669468028117755,0.3288608981380066,0.329593506211716,0.0862065314064901
20220610_Treat,20220610_Treat.sc012,Human,HG001,HG001,11,18,,396493,98695,2045.0,2502.984669942753,1492.727914061965,0.004966,0.398440038999025,0.4095275412641921,0.067262587507151,0.3820233178454655,0.3168139463684082,0.0748302647333346
20220610_Treat,20220610_Treat.sc013,Human,HG001,HG001,11,19,,151467,82388,2579.0,2956.173362625625,1452.811257843196,0.004557,0.3945654655321059,0.4059610776369373,0.0650713810383976,0.3341964573268921,0.155933498667553,0.0759733681281856
20220610_Treat,20220610_Treat.sc014,Human,HG001,HG001,11,20,,352843,158601,2065.0,2414.554529920997,1195.568396390089,0.044334,0.3967136150234742,0.4076425834874691,0.0666343894155728,0.2819755451775569,0.2806652868964986,0.1165021108465347
20220610_Treat,20220610_Treat.sc015,Human,HG001,HG001,11,21,,434592,139840,2087.0,2433.799406464531,1217.039445275671,0.003858,0.3952458809008053,0.4062640907654306,0.0659077550447138,0.2532448410990554,0.3694435873762991,0.1034877949535917
20220610_Treat,20220610_Treat.sc016,Human,HG001,HG001,11,22,,343175,138728,1999.0,2313.901476270111,1105.706858963667,0.004647,0.3944288111969183,0.4053114394103671,0.0660349861444152,0.2528411257722523,0.2600791972728563,0.0987664287573897
20220610_Treat,20220610_Treat.sc018,Human,HG001,HG001,11,24,,386702,133288,2293.0,2660.270219374587,1336.400392132376,0.008761,0.3953488372093023,0.4063554045849458,0.0656926920947445,0.2792520345799424,0.3355159274242638,0.1082848143271348
20220610_Treat,20220610_Treat.sc021,Human,HG001,HG001,12,19,,388527,144233,2365.0,2823.59615344616,1575.591816866296,0.003412,0.396195872116552,0.4072694799660092,0.066019056036803,0.31004033736707,0.3583737748017791,0.1240801416173998
20220610_Treat,20220610_Treat.sc022,Human,HG001,HG001,12,20,,387379,162477,2287.0,2722.394855887295,1488.130339235463,0.004137,0.3950971028334925,0.4061820920285985,0.0656592867801172,0.2768357187305538,0.3397073217271153,0.1353448782626419
20220610_Treat,20220610_Treat.sc023,Human,HG001,HG001,12,21,,315366,127999,2092.0,2430.701966421613,1192.79943105592,0.002636,0.3962472406181016,0.4072086777009896,0.0665419658094844,0.2786009391229322,0.2510733049970191,0.095525018647277
20220610_Treat,20220610_Treat.sc024,Human,HG001,HG001,12,22,,304346,120347,2405.0,2821.211529992438,1474.740030376919,0.004209,0.3964194373401535,0.4078207398513474,0.0663820862418121,0.3158337274686006,0.2774485585124501,0.1046347334768472
20220610_Treat,20220610_Treat.sc025,Human,HG001,HG001,12,23,,243332,105930,2094.0,2384.05085433777,1079.152052306371,0.005283,0.3957953100975282,0.4071967610655783,0.0670450325359673,0.2989915127309036,0.1990136410786916,0.078336659050993
20220610_Treat,20220610_Treat.sc029,Human,HG001,HG001,13,20,,370662,97518,1988.0,2385.966088311901,1309.500229011084,0.004535,0.3963187879402451,0.4075336239107917,0.0674007908365794,0.329319615288912,0.2899335004247695,0.0712857306097801
20220610_Treat,20220610_Treat.sc030,Human,HG001,HG001,13,21,,372206,92776,2245.0,2661.075623005949,1449.389638337396,0.003656,0.3932312651087833,0.4042554400051749,0.06542500674883,0.4389060483127421,0.3245794841704435,0.0741325228418435
20220610_Treat,20220610_Treat.sc031,Human,HG001,HG001,13,22,,373959,124248,2144.0,2523.817139913721,1313.732615727905,0.002533,0.3960822808116504,0.4071909572728636,0.0665223929414715,0.2753923500237788,0.3169895661015236,0.0961683922197242
20220610_Treat,20220610_Treat.sc035,Human,HG001,HG001,14,18,,397889,128970,2108.0,2477.375878111189,1291.286864995531,0.00889,0.3958367787847389,0.4072748141488864,0.0669349302252833,0.2982059288764312,0.3281892989550911,0.097539184189691
20220610_Treat,20220610_Treat.sc037,Human,HG001,HG001,14,20,,388991,117426,2337.0,2819.304940984109,1604.744828451836,0.00158,0.3964172418980128,0.4074362245989671,0.0659861450879075,0.3609505288115726,0.3572216616725673,0.10208958943292
20220610_Treat,20220610_Treat.sc038,Human,HG001,HG001,14,21,,363413,109914,2593.0,3110.203140637225,1787.464730088524,0.00206,0.3958863938304008,0.407652375114707,0.0663024216702933,0.3834801466213753,0.3637515284765822,0.1037759297575774
20220610_Treat,20220610_Treat.sc039,Human,HG001,HG001,14,22,,295641,98022,2845.0,3380.055875211687,1921.243514802756,0.001617,0.3968068088335349,0.4083163237009031,0.0648205352587994,0.3923643104139792,0.3290105593898882,0.100219873900992
